AGE,SEX,YEAR.MEASURED,GLASSES,HANDED,RANK,HEIGHT,WEIGHT
27,M,87,GLASSES,1,2,1.685,82.6
21,M,87,NEITHER,1,1,1.848,79.2
27,M,87,GLASSES,1,4,1.793,88.2
27,M,87,BOTH,1,4,1.712,75.5
20,M,87,NEITHER,2,1,1.765,63.4
24,M,87,NEITHER,1,2,1.802,82.8
29,M,87,NEITHER,1,1,1.737,83.5
25,M,87,GLASSES,1,1,1.733,74.2
25,M,87,NEITHER,1,1,1.778,68.6
22,M,87,NEITHER,1,1,1.747,96.9
28,M,87,NEITHER,2,2,1.58,63.7
28,M,87,GLASSES,1,2,1.815,82.3
22,M,87,NEITHER,1,1,1.731,68.8
20,M,87,NEITHER,1,1,1.727,76.3
21,M,87,NEITHER,1,1,1.8,96.4
28,M,87,BOTH,1,4,1.834,85.3
22,M,87,NEITHER,2,1,1.73,70.5
25,M,87,NEITHER,1,2,1.752,74.6
21,M,87,NEITHER,1,1,1.77,82.1
26,M,87,BOTH,1,1,1.775,78.4
22,M,87,NEITHER,1,1,1.792,80.5
25,M,87,NEITHER,1,2,1.721,70
21,M,87,NEITHER,1,2,1.849,93.7
22,M,87,GLASSES,1,1,1.844,91.9
28,M,87,NEITHER,1,2,1.717,88.6
21,M,87,NEITHER,1,1,1.696,71.5
28,M,87,NEITHER,1,2,1.719,65.9
25,M,87,NEITHER,1,2,1.834,80.6
23,M,87,NEITHER,1,1,1.777,71.5
23,M,87,NEITHER,1,1,1.719,64.6
22,M,87,GLASSES,1,1,1.725,86.8
22,M,87,NEITHER,1,1,1.771,69.4
25,M,87,GLASSES,1,1,1.619,56.9
26,M,87,NEITHER,1,1,1.777,72.8
21,M,87,NEITHER,1,1,1.797,90.4
21,M,87,NEITHER,1,1,1.84,83.2
24,M,87,NEITHER,1,2,1.81,84.5
22,M,87,NEITHER,1,1,1.662,65.5
26,M,87,CONTACTS,1,1,1.724,63
26,M,87,NEITHER,1,1,1.738,79.3
21,M,87,NEITHER,1,1,1.797,79.5
22,M,87,NEITHER,1,1,1.695,62
21,M,87,BOTH,1,1,1.696,77.6
29,M,87,GLASSES,2,2,1.803,81.5
23,M,87,GLASSES,1,1,1.825,90.7
24,M,87,NEITHER,1,4,1.862,78.8
22,M,87,GLASSES,1,1,1.731,77.3
21,M,87,GLASSES,1,1,1.778,69.3
25,M,87,NEITHER,1,2,1.824,68.6
21,M,87,NEITHER,1,1,1.7,73.4
22,M,87,NEITHER,1,2,1.752,79
29,M,87,GLASSES,1,2,1.857,82.8
28,M,87,NEITHER,2,2,1.667,80.9
20,M,87,NEITHER,1,1,1.591,58.9
24,M,87,NEITHER,1,2,1.656,79
25,M,87,NEITHER,1,1,1.818,65.3
28,M,87,GLASSES,2,2,1.72,91.6
20,M,87,NEITHER,1,1,1.74,73.9
20,M,87,NEITHER,2,1,1.707,79
23,M,87,NEITHER,1,1,1.745,92.7
20,M,87,GLASSES,1,1,1.74,74
20,M,87,NEITHER,1,1,1.768,70.5
22,M,87,NEITHER,1,4,1.818,95.2
22,M,87,NEITHER,2,1,1.891,77.7
24,M,87,NEITHER,1,2,1.873,94.2
25,M,87,GLASSES,1,4,1.711,72.6
28,M,87,NEITHER,1,1,1.735,100.5
21,M,87,NEITHER,1,1,1.807,67.4
28,M,87,NEITHER,2,2,1.702,70.6
21,M,87,NEITHER,1,1,1.81,69.8
28,M,87,GLASSES,1,2,1.814,75.3
27,M,87,NEITHER,1,2,1.721,74.9
22,M,87,NEITHER,1,2,1.674,66.5
22,M,87,NEITHER,1,1,1.843,87.5
23,M,87,NEITHER,1,2,1.801,82.9
20,M,87,BOTH,1,1,1.78,68.7
26,M,87,NEITHER,1,1,1.771,74.5
20,M,87,NEITHER,1,1,1.608,64.8
28,M,87,NEITHER,1,2,1.857,109.5
23,M,87,NEITHER,1,1,1.742,71.4
22,M,87,GLASSES,1,1,1.777,90.2
27,M,87,NEITHER,1,2,1.822,93.7
23,M,87,GLASSES,1,1,1.712,79.5
22,M,87,NEITHER,1,1,1.82,81.1
21,M,87,GLASSES,1,1,1.875,98.5
20,M,87,NEITHER,1,1,1.811,78.1
23,M,87,NEITHER,1,1,1.777,97.7
23,M,87,GLASSES,1,2,1.73,80.6
23,M,87,NEITHER,1,1,1.778,86.6
27,M,87,NEITHER,1,1,1.85,80
25,M,87,GLASSES,1,2,1.764,74.1
21,M,87,GLASSES,1,2,1.813,81.1
29,M,87,GLASSES,1,1,1.772,85.1
21,M,87,NEITHER,1,1,1.802,81.6
28,M,87,GLASSES,1,2,1.722,74.1
23,M,87,NEITHER,1,1,1.829,87.5
20,M,87,NEITHER,1,1,1.807,93.3
25,M,87,NEITHER,2,2,1.752,86.9
21,M,87,GLASSES,2,1,1.675,70.6
24,M,87,NEITHER,1,1,1.831,84.1
22,M,87,GLASSES,1,1,1.806,80.3
25,M,87,GLASSES,1,2,1.849,78.5
20,M,87,NEITHER,1,1,1.741,80.4
25,M,87,GLASSES,1,1,1.687,66.4
26,M,87,NEITHER,1,2,1.651,79.5
28,M,87,NEITHER,2,2,1.827,100
25,M,87,GLASSES,1,1,1.788,88.1
20,M,87,NEITHER,1,1,1.733,60.3
28,M,87,NEITHER,1,1,1.886,82.3
23,M,87,NEITHER,2,1,1.807,75.5
20,M,87,NEITHER,1,1,1.826,81.9
22,M,87,GLASSES,1,1,1.74,65.9
23,M,87,NEITHER,1,1,1.911,89.3
26,M,87,NEITHER,1,2,1.782,90.5
22,M,87,GLASSES,2,1,1.685,60.5
20,M,87,NEITHER,1,1,1.873,79.2
24,M,87,NEITHER,1,4,1.763,92.2
26,M,87,GLASSES,1,2,1.778,74.7
26,M,87,NEITHER,1,2,1.827,79.8
25,M,87,GLASSES,1,2,1.797,69.8
23,M,87,BOTH,1,1,1.765,74.4
24,M,87,NEITHER,1,1,1.752,93.9
29,M,87,NEITHER,1,1,1.689,71.5
21,M,87,NEITHER,1,1,1.733,100.5
20,M,87,NEITHER,1,1,1.802,87.3
24,M,87,NEITHER,1,1,1.715,70.8
22,M,87,NEITHER,1,1,1.767,72.9
26,M,87,NEITHER,1,1,1.73,65.7
26,M,87,NEITHER,1,2,1.655,72.4
29,M,87,NEITHER,1,2,1.699,79.4
26,M,87,NEITHER,1,1,1.771,99.8
27,M,87,NEITHER,1,2,1.66,77.8
21,M,87,NEITHER,1,1,1.752,71
